"","x"
"1",11311.7930433228
"2",11311.7930433228
"3",11311.7930433228
"4",11538.0289041893
"5",11884.169771315
"6",12121.8531667413
"7",12424.8994959098
"8",12735.5219833075
"9",13053.9100328902
"10",13380.2577837125
"11",13714.7642283053
"12",14057.6333340129
"13",14409.0741673632
"14",14769.3010215473
"15",15138.533547086
"16",15516.9968857631
"17",15904.9218079072
"18",16302.5448531049
"19",16710.1084744325
"20",17127.8611862933
"21",17556.0577159507
"22",17994.9591588494
"23",18444.8331378207
"24",18905.9539662662
"25",19378.6028154228
"26",19863.0678858084
"27",20359.6445829536
"28",20868.6356975275
"29",21390.3515899656
"30",21925.1103797148
"31",22473.2381392076
"32",23035.0690926878
"33",23610.945820005
"34",24201.2194655051
"35",24806.2499521428
"36",25426.4062009463
"37",26062.06635597
"38",26713.6180148693
"39",27381.458465241
